,S++,S+ ,S0,P++,P+ ,P0,M++,M+ ,M0,E++,E+ ,E0,T++,T+ ,T0,D++,D+ ,D0
S++,7450,0,0,2598,3598,1254,2401,3849,1200,3180,3599,671,2759,3590,1101,2592,3686,1172
S+ ,0,12965,0,3059,7259,2647,4540,6644,1781,5215,6651,1099,3828,6904,2233,3767,6867,2331
S0,0,0,9237,1250,4335,3652,2822,4298,2117,3131,4312,1794,2145,3840,3252,2295,3758,3184
P++,2598,3059,1250,6907,0,0,3492,2886,529,3974,2632,301,3091,3109,707,3221,3027,659
P+ ,3598,7259,4335,0,15192,0,4946,8225,2021,5699,8239,1254,4246,8160,2786,4140,8239,2813
P0,1254,2647,3652,0,0,7553,1325,3680,2548,1853,3691,2009,1395,3065,3093,1293,3045,3215
M++,2401,4540,2822,3492,4946,1325,9763,0,0,6802,2744,217,5083,3912,768,5557,3544,662
M+ ,3849,6644,4298,2886,8225,3680,0,14791,0,4012,9675,1104,3071,8871,2849,2678,9333,2780
M0,1200,1781,2117,529,2021,2548,0,0,5098,712,2143,2243,578,1551,2969,419,1434,3245
E++,3180,5215,3131,3974,5699,1853,6802,4012,712,11526,0,0,5580,4874,1072,5736,4752,1038
E+ ,3599,6651,4312,2632,8239,3691,2744,9675,2143,0,14562,0,2826,8598,3138,2658,8716,3188
E0,671,1099,1794,301,1254,2009,217,1104,2243,0,0,3564,326,862,2376,260,843,2461
T++,2759,3828,2145,3091,4246,1395,5083,3071,578,5580,2826,326,8732,0,0,6970,1615,147
T+ ,3590,6904,3840,3109,8160,3065,3912,8871,1551,4874,8598,862,0,14334,0,1545,11542,1247
T0,1101,2233,3252,707,2786,3093,768,2849,2969,1072,3138,2376,0,0,6586,139,1154,5293
D++,2592,3767,2295,3221,4140,1293,5557,2678,419,5736,2658,260,6970,1545,139,8654,0,0
D+ ,3686,6867,3758,3027,8239,3045,3544,9333,1434,4752,8716,843,1615,11542,1154,0,14311,0
D0,1172,2331,3184,659,2813,3215,662,2780,3245,1038,3188,2461,147,1247,5293,0,0,6687
BELGIQUE,234,490,262,241,491,254,354,481,151,436,464,86,361,460,165,328,478,180
DANMARK,273,403,268,320,515,109,277,488,179,391,507,46,325,456,163,310,456,178
DEUTSCHLAND_WEST,273,411,304,411,445,132,463,429,96,449,469,70,355,485,148,376,466,146
DEUTSCHLAND_OST,172,200,126,191,245,62,191,269,38,185,255,58,185,247,66,183,257,58
ELLADA,226,309,457,368,457,167,518,365,109,600,319,73,412,399,181,442,391,159
ESPANA,229,387,383,141,425,433,316,511,172,362,507,130,273,491,235,254,511,234
SUOMI,301,505,180,161,588,237,335,540,111,365,565,56,278,531,177,256,547,183
FRANCE,227,479,284,211,528,251,473,429,88,586,351,53,388,470,132,393,454,143
IRELAND,339,304,282,193,433,299,275,473,177,301,463,161,259,441,225,240,447,238
ITALIA,188,384,376,73,415,460,167,589,192,233,580,135,162,549,237,179,549,220
LUXEMBOURG,131,236,127,164,259,71,239,211,44,307,165,22,207,219,68,181,249,64
NEDERLAND,309,457,218,412,501,71,490,437,57,421,497,66,412,463,109,419,437,128
OSTERREICH,325,368,254,223,489,235,305,499,143,311,517,119,239,510,198,259,483,205
PORTUGAL,163,426,328,58,434,425,172,493,252,230,478,209,155,436,326,152,447,318
SVERIGE,337,435,212,300,578,106,355,509,120,458,485,41,397,472,115,441,458,85
GREAT_BRITAIN,259,308,383,184,475,291,332,471,147,397,420,133,309,441,200,319,432,199
NORTHERN_IRELAND,74,90,136,38,138,124,89,140,71,96,147,57,67,150,83,72,141,87
KYPROS,121,184,190,170,225,100,309,155,31,371,106,18,261,181,53,272,166,57
CESKA_REPUBLIKA,284,437,283,256,545,203,305,588,111,335,598,71,241,559,204,214,591,199
EESTI,170,552,208,149,553,228,255,501,174,302,541,87,230,442,258,214,473,243
MAGYARORSZAG,210,371,391,172,461,339,335,446,191,383,443,146,298,436,238,294,437,241
LATVIA,196,509,263,217,530,221,212,542,214,290,559,119,215,500,253,199,489,280
LIETUVA,119,510,309,149,572,217,136,501,301,88,548,302,115,439,384,89,427,422
MALTA,109,156,202,118,222,127,187,174,106,302,132,33,205,161,101,178,172,117
POLSKA,164,503,283,133,505,312,179,509,262,225,569,156,200,449,301,190,457,303
SLOVENSKA_REPUBLIC,284,548,339,305,652,214,386,637,148,415,618,138,260,614,297,264,598,309
SLOVENIJA,298,526,172,180,571,245,318,542,136,407,524,65,255,556,185,264,540,192
BALGARIJA,196,325,387,177,429,302,227,417,264,319,406,183,169,401,338,170,409,329
ROMANIA,152,339,375,133,435,298,153,473,240,166,464,236,127,388,351,130,387,349
TURKIYE,211,296,388,156,366,373,167,344,384,358,344,193,211,356,328,189,328,378
ISLAND,90,166,184,112,232,96,213,185,42,140,210,90,187,220,33,176,213,51
HRVATSKA,241,440,264,154,469,322,326,487,132,408,428,109,317,435,193,328,444,173
SUISSE,280,464,205,381,436,132,423,455,71,573,339,37,354,487,108,377,478,94
NORGE,265,447,214,256,573,97,281,501,144,316,544,66,303,490,133,302,499,125
